Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2015,Unprovoked,AUSTRALIA,Surfing,M,41,Y
2015,Unprovoked,AUSTRALIA,Surfing,M,35,N
2015,Unprovoked,AUSTRALIA,Bodysurfing,M,NA,N
2015,Boating,AUSTRALIA,Rowing,M,57,N
2015,Provoked,USA,Shark fishing,M,20,N
2015,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2015,Unprovoked,SOUTH AFRICA,Floating,M,24,N
2015,Boating,USA,Fishing,M,NA,N
2015,Invalid,AUSTRALIA,Surfing & filming dolphins,F,NA,NA
2015,Boating,AUSTRALIA,Fishing,M,NA,N
2015,Unprovoked,AUSTRALIA,Filming,M,17,N
2015,Invalid,USA,Swimming after falling overboard,M,38,NA
2015,Unprovoked,BAHAMAS,Snorkeling,F,34,N
2015,Unprovoked,SOUTH AFRICA,Surfing,M,15,N
2015,Unprovoked,USA,NA,M,12,N
2014,Unprovoked,AUSTRALIA,Surfing,NA,NA,N
2014,Unprovoked,AUSTRALIA,Spearfishing,M,17,Y
2014,Sea Disaster,GREECE,NA,NA,NA,N
2014,Invalid,SOUTH AFRICA,Swimming,NA,NA,NA
2014,Unprovoked,USA,Surfing,M,50,N
2014,Provoked,AUSTRALIA,Fishing,M,40s,N
2014,Unprovoked,JAPAN,Diving / Filming,M,NA,N
2014,Unprovoked,AUSTRALIA,Spearfishing,M,17,Y
2014,Provoked,SPAIN,Fishing for blue sharks,M,NA,N
2014,Unprovoked,AUSTRALIA,Surfing,M,13,N
2014,Provoked,MAURITIUS,Fishing,M,39,Y
2014,Boating,AUSTRALIA,Fishing,M,NA,N
2014,Boating,USA,NA,NA,NA,N
2014,Unprovoked,USA,Surfing,M,44,N
2014,Unprovoked,USA,Snorkeling,M,53,N
2014,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2014,Unprovoked,USA,Surfing,M,18,N
2014,Unprovoked,USA,Surfing,F,34,N
2014,Provoked,AUSTRALIA,Surfing,M,20,N
2014,Unprovoked,USA,Stand-Up Paddleboarding,F,NA,N
2014,Unprovoked,USA,Stand-Up Paddleboarding,M,NA,N
2014,Boating,USA,Canoeing,F,NA,N
2014,Unprovoked,USA,Surfing,M,NA,N
2014,Unprovoked,AUSTRALIA,Surfing,F,13,N
2014,Unprovoked,USA,Standing in inner tube,F,7,N
2014,Unprovoked,USA,Body surfing or Boogie boarding,F,NA,N
2014,Boating,AUSTRALIA,Kayaking,M,NA,N
2014,Unprovoked,USA,Surfing,M,29,N
2014,Unprovoked,USA,Fishing,F,40,N
2014,Unprovoked,USA,Surfing,M,15,N
